Start Node ID;End Node ID;Average waiting time
407;2709;69.5
2709;4336;69.5
2709;3359;69.5
131;419;61.5
131;7698;61.5
131;3359;61.5
131;2709;65.5
1937;2783;45
2783;2784;45
2777;2783;45
1;3639;65
1;683;65
1;2783;55
2789;4119;75
2783;2784;75
683;4118;46
683;2203;46
1;683;46
683;2784;60.5
2787;5991;73
2787;7771;73
2787;7774;73
0;3944;54
0;684;54
0;7770;54
0;2787;63.5
678;2802;35
2801;2802;66.5
2799;2801;66.5
2798;2801;66.5
489;2801;66.5
2800;2801;66.5
678;2801;66.5
2798;2799;67
489;2800;67
489;5145;67
2794;4527;66
2794;4520;72
4523;4527;72
646;7582;70
644;646;70
646;4796;70
646;2794;71
2793;4517;60
2793;4520;35
2793;3432;35
689;5033;35
689;5024;35
689;2793;47.5
1793;1794;60
1794;3443;36
1794;2538;36
2791;2792;35
2792;3432;35
1794;2792;43.67
3444;8702;36.5
6235;8702;36.5
8700;8702;70
536;2008;36.5
536;3065;36.5
536;7943;54.67
536;8702;49.42
2763;6215;72
2763;6204;70
2763;8701;70
537;3065;70
537;3064;70
537;2763;71
